2025-12-06 20:35:07 | WARNING  | django.request | Not Found: /api/hardware-data/
2025-12-06 20:35:07 | WARNING  | django.server | "GET /api/hardware-data/ HTTP/1.1" 404 6646
2025-12-06 20:35:08 | INFO     | django.server | "GET /api/dashboard/ HTTP/1.1" 200 59620
2025-12-06 20:35:08 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2073
2025-12-06 20:35:09 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:10 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2073
2025-12-06 20:35:11 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2073
2025-12-06 20:35:13 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2073
2025-12-06 20:35:14 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:14 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2073
2025-12-06 20:35:16 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2073
2025-12-06 20:35:17 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2073
2025-12-06 20:35:19 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2073
2025-12-06 20:35:19 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:20 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2071
2025-12-06 20:35:22 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2071
2025-12-06 20:35:23 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2071
2025-12-06 20:35:24 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:25 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2069
2025-12-06 20:35:26 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2069
2025-12-06 20:35:28 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2069
